,PC1,PC2,PC3,PC4
Afghanistan,-0.5990776408933927,0.09549001261083376,0.1575538087566889,-0.024332503541399247
Albania,0.1584742967326137,-0.21209240446273628,-0.06418900181211193,-0.06124679332206941
Algeria,0.003685517735203125,-0.13586725169399738,-0.13418203164386955,0.13357440549945915
Angola,-0.6502349912467085,0.2759752627478128,-0.14267249313038255,0.15601830962057978
Antigua and Barbuda,0.2007112426159629,-0.06466222842615134,-0.10071548869889796,-0.037901763631859035
Argentina,0.11253400135451547,-0.20604633143446732,0.11894180938466799,0.10644778950351699
Armenia,0.08748612332997956,-0.24430696026408544,-0.1535662266841857,0.012330548001664656
Australia,0.440783586238544,0.01628158692670326,0.26919877426556316,0.22565696653073067
Austria,0.5205263926665186,0.11505266691266765,0.24351973265735663,0.0019479392773475697
Azerbaijan,0.038809145454632446,-0.12198813297865485,-0.07862790089153289,0.06384634379732118
Bahamas,0.25330504129968373,-0.037092475098808655,0.08019007956722629,0.004686209967720107
Bahrain,0.2800487536378106,0.08194451910703061,-0.15126383988151554,0.10232208256761004
Bangladesh,-0.10721303971102693,-0.2481700696174423,-0.1228911762953068,0.11901114264747636
Barbados,0.23240595477558443,-0.10625665061398032,0.025002079397383636,-0.07014098709483342
Belarus,0.1823838272351814,-0.10352266346148871,-0.19040689751976556,-0.08657551668584096
Belgium,0.49552528689341724,0.2416821696175342,0.1356060513491242,-0.10766878405446269
Belize,0.0343958977610749,-0.05258709293438706,-0.1733668064088668,-0.07477036632911385
Benin,-0.5721153282550094,0.08891621815876745,-0.02157741225833029,0.0916260211079492
Bhutan,-0.007218397155775306,-0.06228780718285023,-0.1727686426168606,-0.11083263848616717
Bolivia,-0.12086722580429872,-0.09859734242941029,-0.1025425555533942,0.05216659092129622
Bosnia and Herzegovina,0.25999884142173857,-0.222153933460659,0.13793023394178075,-0.23168531526560388
Botswana,-0.15372061380899973,0.029403044546586037,0.0402973542225499,-0.1330633310120309
Brazil,0.13962489412562182,-0.2631596243592048,0.18004357815716698,0.04587326894223753
Brunei,0.42041601787540894,0.19485163562281857,-0.15855807186886198,0.42667432651918236
Bulgaria,0.20775215796331278,-0.12550835548981903,-0.09221132667167707,-0.10013878822985775
Burkina Faso,-0.6538925108450021,0.1132057806789232,0.14094936376409967,0.05147636832929006
Burundi,-0.6097543899838294,0.11313394663951992,0.37604016762481085,-0.11259834680778989
Cambodia,-0.1091355979386028,-0.030511475050591923,-0.14367346126079902,-0.12309747670255416
Cameroon,-0.5745202803834539,0.0636648147100615,0.04185860774979806,0.08165257277392912
Canada,0.47654775027969176,0.030769884060460044,0.33576263282712815,0.07753135102935904
Cape Verde,-0.007554432973361359,-0.1115278283609553,-0.18599421871760585,-0.037567815095843574
Central African Republic,-0.7858316644817721,0.11402571744483592,0.024783964675847838,0.10211600556120255
Chad,-0.8034838893582715,0.27514761566458923,0.012611871638340396,0.07886653662268973
Chile,0.2393651764321954,-0.15904187045742288,0.04731193476678172,0.021598958064986875
China,0.1244389637592096,-0.27840827690721104,-0.0900088993461607,0.07650517256037279
Colombia,0.116006452353847,-0.2708605858159684,0.08177126457706546,0.0429030995648879
Comoros,-0.42968059289720206,0.026627740434681742,-0.04168589218929529,0.03162398651648558
"Congo, Dem. Rep.",-0.6939619357067807,0.24903668737632928,0.1300840777518718,-0.034798204303853233
